ICD10,count
798,75
799,73
800,73
801,49
802,90
803,120
804,159
805,72
806,12
807,41
808,31
809,7
810,38
811,12
812,10
813,80
814,12
815,46
816,17
817,152
818,7
819,12
820,18
821,8
822,11
823,43
824,203
825,113
826,35
827,113
828,85
829,144
830,33
831,71
832,20
833,6
834,18
835,162
836,143
837,143
838,143
839,143
840,143
841,143
842,143
843,21
844,12
845,72
846,43
847,32
848,9
849,6
850,401
851,322
852,187
853,23
854,26
855,26
856,26
857,20
858,26
859,26
860,25
861,25
862,243
863,41
864,38
865,41
866,74
867,77
868,314
869,220
870,178
871,178
872,57
873,399
874,87
875,172
876,173
877,85
878,85
879,133
880,38
881,580
882,156
883,36
884,16
885,20
886,16
887,80
888,109
889,53
890,52
891,67
892,34
893,68
894,23
895,220
896,25
897,82
898,112
899,187
900,32
901,34
902,57
903,69
904,344
905,36
906,11
907,236
908,65
909,70
910,52
911,49
912,49
913,63
914,65
915,60
916,40
917,74
918,76
919,22
920,18
921,34
922,267
923,42
924,40
925,56
926,39
927,36
928,48
929,28
930,25
931,779
932,24
933,29
934,33
935,14
936,30
937,27
938,64
939,170
940,386
941,196
942,30
943,63
944,28
945,22
946,49
947,190
948,137
949,56
950,48
951,32
952,368
953,72
954,91
955,112
956,32
957,20
958,37
959,73
960,44
961,23
962,9
963,38
964,28
965,58
966,42
967,33
968,236
969,20
970,59
971,56
972,54
973,7
974,49
975,61
976,15
977,9
978,11
979,7
980,409
981,70
982,18
983,11
984,180
985,53
986,16
987,31
988,21
989,279
990,139
991,30
992,13
993,31
994,17
995,171
996,13
997,61
998,68
999,157
1000,44
1001,27
1002,30
1003,17
1004,74
1005,18
1006,15
1007,37
1008,285
1009,76
1010,99
1011,11
1012,36
1013,23
1014,8
1015,608
1016,327
1017,9
1018,24
1019,42
1020,49
1021,35
1022,8
1023,73
1024,57
1025,14
1026,219
1027,56
1028,66
1029,14
1030,24
1031,53
1032,100
1033,65
1034,29
1035,286
1036,115
1037,36
1038,8
1039,129
1040,29
1041,41
1042,58
1043,148
1044,33
1045,53
1046,33
1047,24
1048,146
1049,55
1050,21
1051,32
1052,36
1053,84
1054,7
1055,10
1056,18
1057,8
1058,11
1059,18
1060,90
1061,80
1062,80
1063,80
1064,80
1065,80
1066,80
1067,81
1068,96
1069,9
1070,23
1071,7
1072,57
1073,61
1074,11
1075,48
1076,125
1077,15
1078,24
1079,62
1080,19
1081,101
1082,71
1083,12
1084,12
1085,140
1086,16
1087,15
1088,23
1089,23
1090,40
1091,18
1092,32
1093,26
1094,378
1095,25
1096,21
1097,294
1098,31
1099,208
1100,17
1101,40
1102,50
1103,38
1104,57
1105,31
1106,23
1107,153
1108,91
1109,42
1110,17
1111,159
1112,12
1113,12
1114,12
1115,84
1116,69
1117,12
1118,12
1119,12
1120,20
1121,80
1122,6
1123,52
1124,346
1125,265
1126,79
1127,67
1128,17
1129,39
1130,18
1131,16
1132,14
1133,156
1134,8
1135,55
1136,16
1137,43
1138,22
1139,25
1140,34
1141,66
1142,21
1143,9
1144,28
1145,66
1146,51
1147,10
1148,10
1149,10
1150,20
1151,44
1152,39
1153,97
1154,31
1155,22
1156,89
1157,19
1158,25
1159,21
1160,18
1161,18
1162,6
1163,45
1164,13
1165,13
1166,6
1167,83
1168,44
1169,59
1170,26
1171,23
1172,8
1173,10
1174,566
1175,63
1176,65
1177,427
1178,13
1179,65
1180,32
1181,21
1182,8
1183,45
1184,29
1185,24
1186,11
1187,7
1188,96
1189,37
1190,52
1191,21
1192,17
1193,18
1194,8
1195,65
1196,58
1197,325
1198,31
1199,27
1200,13
1201,242
1202,30
1203,147
1204,42
1205,7
1206,84
1207,6
1208,610
1209,75
1210,138
1211,42
1212,32
1213,194
1214,202
1215,31
1216,32
1217,36
1218,24
1219,71
1220,61
1221,12
1222,6
1223,21
1224,12
1225,131
1226,55
1227,46
1228,22
1229,11
1230,6
1231,72
1232,8
1233,37
1234,23
1235,72
1236,30
1237,28
1238,6
1239,9
1240,10
1241,219
1242,17
1243,63
1244,111
1245,15
1246,9
1247,8
1248,296
1249,180
1250,57
1251,11
1252,12
1253,19
1254,26
1255,48
1256,141
1257,53
1258,57
1259,111
1260,56
1261,53
1262,458
1263,32
1264,26
1265,98
1266,303
1267,34
1268,205
1269,29
1270,91
1271,10
1272,32
1273,18
1274,25
1275,39
1276,12
1277,15
1278,33
1279,6
1280,21
1281,6
1282,8
1283,245
1284,185
1285,9
1286,12
1287,6
1288,32
1289,18
1290,10
1291,18
1292,15
1293,221
1294,94
1295,17
1296,17
1297,45
1298,37
1299,21
1300,34
1301,44
1302,51
1303,58
1304,742
1305,44
1306,43
1307,245
1308,17
1309,59
1310,124
1311,52
1312,833
1313,72
1314,216
1315,29
1316,79
1317,171
1318,33
1319,16
1320,233
1321,15
1322,119
1323,44
1324,213
1325,40
1326,10
1327,143
1328,19
1329,109
1330,7
1331,17
1332,22
1333,8
1334,15
1335,21
1336,18
1337,53
1338,30
1339,17
1340,6
1341,294
1342,21
1343,160
1344,57
1345,52
1346,118
1347,14
1348,13
1349,88
1350,7
1351,264
1352,75
1353,27
1354,6
1355,27
1356,14
1357,96
1358,11
1359,11
1360,15
1361,8
1362,727
1363,57
1364,163
1365,224
1366,25
1367,42
1368,34
1369,37
1370,22
1371,280
1372,27
1373,253
1374,29
1375,26
1376,32
1377,17
1378,40
1379,106
1380,27
1381,18
1382,815
1383,243
1384,507
1385,63
1386,100
1387,10
1388,23
1389,41
1390,20
1391,159
1392,17
1393,54
1394,67
1395,6
1396,64
1397,11
1398,20
1399,378
1400,80
1401,290
1402,37
1403,9
1404,463
1405,46
1406,324
1407,13
1408,24
1409,79
1410,95
1411,29
1412,7
1413,35
1414,46
1415,414
1416,275
1417,7
1418,39
1419,19
1420,24
1421,42
1422,414
1423,33
1424,38
1425,299
1426,24
1427,11
1428,120
1429,39
1430,49
1431,26
1432,408
1433,221
1434,27
1435,222
1436,76
1437,24
1438,370
1439,225
1440,10
1441,11
1442,6
1443,82
1444,18
1445,151
1446,79
1447,50
1448,17
1449,117
1450,61
1451,11
1452,7
1453,8
1454,25
1455,437
1456,189
1457,116
1458,67
1459,60
1460,835
1461,558
1462,6
1463,42
1464,47
1465,178
1466,217
1467,41
1468,17
1469,6
1470,35
1471,63
1472,50
1473,128
1474,51
1475,38
1476,34
1477,278
1478,120
1479,145
1480,10
1481,271
1482,7
1483,83
1484,25
1485,8
