ICD10,count
B45.9,32
B46,25
B46.5,6
B46.8,6
B47,33
B47.0,17
B47.1,10
B47.9,6
B48,74
B48.0,18
B48.1,12
B48.2,16
B48.3,7
B48.7,14
B49,32
B50,94
B50.0,12
B50.8,15
B50.9,57
B51,25
B51.9,20
B52,28
B52.0,6
B52.9,17
B53,23
B53.0,16
B54,30
B55,121
B55.0,30
B55.1,44
B55.2,28
B55.9,19
B56,33
B56.0,7
B56.1,7
B56.9,13
B57,51
B57.0,22
B57.1,20
B57.2,32
B57.3,24
B57.4,22
B57.5,21
B58,32
B58.8,7
B58.9,9
B59,22
B60,91
B60.0,32
B60.1,21
B60.2,8
B60.8,32
B64,19
B65,124
B65.0,23
B65.1,27
B65.2,25
B65.3,29
B65.8,8
B65.9,9
B66,218
B66.0,24
B66.1,16
B66.2,16
B66.3,51
B66.4,28
B66.5,18
B66.8,56
B66.9,8
B67,165
B67.4,76
B67.5,23
B67.6,23
B67.7,21
B67.9,48
B68,27
B68.1,18
B69,41
B69.0,29
B69.1,27
B69.8,27
B69.9,30
B70,49
B70.0,23
B70.1,25
B71,42
B71.0,19
B71.8,8
B71.9,9
B72,35
B73,21
B74,153
B74.0,68
B74.1,51
B74.2,49
B74.3,31
B74.4,30
B74.8,26
B74.9,19
B75,23
B76,69
B76.0,25
B76.1,8
B76.9,33
B77,27
B77.9,17
B78,33
B78.0,22
B78.1,19
B78.7,19
B78.9,24
B79,33
B80,33
B81,90
B81.0,33
B81.1,15
B81.2,16
B81.3,7
B81.8,13
B82,14
B82.0,8
B82.9,6
B83,97
B83.0,25
B83.1,17
B83.2,9
B83.4,6
B83.8,14
B83.9,24
B85,183
B85.0,32
B85.1,26
B85.2,70
B85.3,53
B85.4,6
B86,20
B87,73
B87.0,41
B87.1,32
B87.2,29
B87.3,29
B87.4,29
B87.8,33
B87.9,36
B88,112
B88.0,43
B88.1,27
B88.3,18
B88.8,13
B88.9,14
B89,5
B90,18
B90.8,6
B90.9,6
B91,2
B92,2
B94,15
B95,21
B96,35
B96.0,8
B97,36
B97.1,9
B97.3,6
B97.8,6
B99,6
C00,153
C00.0,12
C00.1,12
C00.3,12
C00.9,123
C01,146
C02,161
C02.0,154
C02.1,154
C02.2,154
C02.3,8
C02.4,154
C02.8,8
C02.9,147
C03,106
C03.0,23
C03.1,23
C03.9,59
C04,35
C04.0,31
C04.1,31
C04.9,31
C05,89
C05.0,27
C05.1,24
C05.2,35
C06,72
C06.0,32
C06.1,27
C06.2,10
C07,52
C08,86
C08.0,35
C08.1,33
C08.8,6
C09,85
C09.0,21
C09.1,16
C09.9,47
C10,141
C10.0,22
C10.1,55
C10.2,58
C10.3,58
C10.8,58
C10.9,58
C11,104
C11.0,98
C11.1,98
C11.2,98
C11.3,98
C11.9,98
C12,39
C13,109
C13.0,21
C13.1,22
C13.2,63
C13.9,63
C14,31
C14.2,28
C15,102
C15.0,20
C15.1,20
C15.2,38
C15.3,76
C15.4,76
C15.5,94
C15.8,20
C16,238
C16.0,67
C16.1,68
C16.2,104
C16.3,65
C16.4,73
C16.5,96
C16.6,84
C16.8,41
C16.9,80
C17,131
C17.0,50
C17.1,55
C17.2,49
C17.3,35
C17.8,35
C17.9,42
C18,328
C18.0,50
C18.1,90
C18.2,52
C18.3,55
C18.4,49
C18.5,55
C18.6,52
C18.7,48
C18.8,20
C18.9,52
C19,31
C20,53
C21,48
C21.0,30
C21.1,41
C22,322
C22.0,173
C22.1,80
C22.2,12
C22.3,32
C22.7,46
C22.9,56
C23,69
C24,119
C24.0,46
C24.1,71
C24.8,17
C24.9,25
C25,239
C25.0,86
C25.1,91
C25.2,86
C25.3,37
C25.4,104
C25.7,46
C25.8,46
C26,86
C26.0,10
C26.1,29
C26.9,45
C30,33
C30.0,31
C31,126
C31.0,26
C31.1,43
C31.2,25
C31.3,41
C32,141
C32.0,28
C32.1,59
C32.2,37
C32.3,19
C32.9,23
C33,34
C34,179
C34.0,25
C34.1,75
C34.2,73
C34.3,73
C34.8,49
C34.9,90
C37,120
C38,159
C38.0,72
C38.2,12
C38.3,41
C38.4,31
C39,4
C40,38
C40.2,12
C40.3,10
C41,80
C41.0,12
C41.1,46
C41.9,17
C43,152
C43.2,7
C43.3,12
C43.5,18
C43.6,8
C43.7,11
C43.9,43
C44,203
C44.3,113
C44.5,35
C44.6,113
C44.7,85
C45,144
C45.0,33
C45.1,71
C45.2,20
C45.7,6
C45.9,18
C46,162
C46.0,143
C46.1,143
C46.2,143
C46.3,143
C46.7,143
C46.8,143
C46.9,143
C47,21
C47.9,12
C48,72
C48.0,43
C48.1,32
C48.2,9
C48.8,6
C49,401
C49.9,322
C50,187
C50.0,23
C50.1,26
C50.2,26
C50.3,26
C50.4,20
C50.5,26
C50.6,26
C50.8,25
C50.9,25
C51,243
C51.0,41
C51.1,38
C51.2,41
C51.9,74
C52,77
C53,314
C53.0,220
C53.1,178
C53.8,178
C53.9,57
C54,399
C54.0,87
C54.1,172
C54.2,173
C54.3,85
C54.8,85
C54.9,133
C55,38
C56,580
C57,156
C57.0,36
C57.1,16
C57.2,20
C57.3,16
C58,80
C60,109
C60.0,53
C60.1,52
C60.2,67
C60.8,34
C60.9,68
C61,23
C62,220
C62.0,25
C62.1,82
C62.9,112
C63,187
C63.0,32
C63.1,34
C63.2,57
C63.9,69
C64,344
C65,36
C66,11
C67,236
C67.0,65
C67.1,70
C67.2,52
C67.3,49
C67.4,49
C67.5,63
C67.6,65
C67.7,60
C67.8,40
C67.9,74
C68,76
C68.0,22
C68.1,18
C68.9,34
C69,267
C69.0,42
C69.1,40
C69.2,56
C69.3,39
C69.4,36
C69.6,48
C70,28
C70.1,25
C71,779
C71.0,24
C71.1,29
C71.2,33
C71.3,14
C71.4,30
C71.5,27
C71.6,64
C71.7,170
C71.9,386
C72,196
C72.0,30
C72.4,63
C72.5,28
C72.8,22
C72.9,49
C73,190
C74,137
C74.0,56
C74.1,48
C74.9,32
C75,368
C75.0,72
C75.1,91
C75.3,112
C75.4,32
C75.5,20
C75.9,37
C76,73
C76.1,44
C76.7,23
C77,9
C78,38
C78.6,28
C79,58
C79.1,42
C80,33
C81,236
C81.0,20
C81.1,59
C81.2,56
C81.3,54
C81.7,7
C81.9,49
C82,61
C82.1,15
C82.2,9
C82.7,11
C82.9,7
C83,409
C83.0,70
C83.1,18
C83.2,11
C83.3,180
C83.5,53
C83.6,16
C83.7,31
C83.8,21
C84,279
C84.0,139
C84.1,30
C84.3,13
C84.4,31
C84.5,17
C85,171
C85.0,13
C85.7,61
C85.9,68
C88,157
C88.0,44
C88.2,27
C88.3,30
C88.9,17
C90,74
C90.0,18
C90.1,15
C90.2,37
C91,285
C91.0,76
C91.1,99
C91.3,11
C91.4,36
C91.5,23
C91.9,8
C92,608
C92.0,327
C92.1,9
C92.2,24
C92.3,42
C92.4,49
C92.5,35
C92.7,8
C92.9,73
C93,57
C93.1,14
C94,219
C94.0,56
C94.2,66
C94.3,14
C94.4,24
C94.7,53
C95,100
C95.0,65
C95.9,29
C96,286
C96.0,115
C96.2,36
C97,1
D00,129
D00.0,29
D00.1,41
D00.2,58
D01,148
D01.0,33
D01.2,53
D01.4,33
D01.5,24
D02,146
D02.0,55
D02.1,21
D02.2,32
D02.3,36
D03,84
D03.2,7
D03.3,10
D03.5,18
D03.6,8
D03.7,11
D03.8,18
D04,90
D04.0,80
D04.2,80
D04.3,80
D04.4,80
D04.6,80
D04.7,80
D04.9,81
D05,96
D05.0,9
D05.1,23
D05.7,7
D05.9,57
D06,61
D06.7,11
D06.9,48
D07,125
D07.0,15
D07.1,24
D07.4,62
D07.5,19
D09,101
D09.0,71
D09.1,12
D09.2,12
D10,140
D10.0,16
D10.1,15
D10.2,23
D10.4,23
D10.6,40
D10.7,18
D11,32
D11.0,26
D12,378
D12.0,25
D12.1,21
D12.6,294
D12.8,31
D13,208
D13.0,17
D13.1,40
D13.4,50
D13.6,38
D13.7,57
D14,31
D14.2,23
D15,153
D15.0,91
D15.1,42
D15.2,17
D16,159
D16.0,12
D16.1,12
D16.3,12
D16.4,84
D16.5,69
D16.6,12
D16.7,12
D16.8,12
D16.9,20
D17,80
D17.7,6
D17.9,52
D18,346
D18.0,265
D18.1,79
D19,67
D19.1,17
D19.9,39
D20,18
D20.1,16
D21,14
D22,156
D22.2,8
D22.3,55
D22.4,16
D22.5,43
D22.6,22
D22.7,25
D22.9,34
D23,66
D23.3,21
D23.4,9
D23.9,28
D24,66
D25,51
D25.0,10
D25.1,10
D25.2,10
D25.9,20
D26,44
D26.9,39
D27,97
D28,31
D28.2,22
D29,89
D29.0,19
D29.1,25
D29.2,21
D29.4,18
D30,18
D30.0,6
D31,45
D31.1,13
D31.2,13
D31.6,6
D32,83
D32.9,44
D33,59
D33.0,26
D33.4,23
D33.7,8
D34,10
D35,566
D35.0,63
D35.1,65
D35.2,427
D35.6,13
D36,65
D36.0,32
D36.7,21
D36.9,8
D37,45
D37.3,29
D38,24
D38.1,11
D38.4,7
D39,96
D39.1,37
D39.2,52
D40,21
D40.1,17
D41,18
D42,4
D43,65
D43.2,58
D44,325
D44.2,31
D44.5,27
D44.7,13
D44.8,242
D45,30
D46,147
D46.2,42
D46.3,7
D46.7,84
D46.9,6
D47,610
D47.0,75
D47.1,138
D47.3,42
D47.7,32
D47.9,194
D48,202
D48.0,31
D48.1,32
D48.6,36
D48.7,24
D48.9,71
D50,61
D50.0,12
D50.1,6
D50.8,21
D50.9,12
D51,131
D51.0,55
D51.1,46
D51.2,22
D51.3,11
D51.9,6
D52,72
D52.0,8
D52.8,37
D52.9,23
D53,72
D53.0,30
D53.1,28
D53.2,6
D53.8,9
D53.9,10
D55,219
D55.0,17
D55.1,63
D55.2,111
D55.3,15
D55.8,9
D55.9,8
D56,296
D56.0,180
D56.1,57
D56.2,11
D56.3,12
D56.4,19
D56.8,26
D56.9,48
D57,141
D57.0,53
D57.1,57
D57.2,111
D57.3,56
D57.8,53
D58,458
D58.0,32
D58.1,26
D58.2,98
D58.8,303
D58.9,34
D59,205
D59.0,29
D59.1,91
D59.2,10
D59.3,32
D59.4,18
D59.5,25
D59.6,39
D59.8,12
D59.9,15
D60,33
D60.0,6
D60.1,21
D60.8,6
D60.9,8
D61,245
D61.0,185
D61.1,9
D61.2,12
D61.3,6
D61.8,32
D61.9,18
D62,10
D63,18
D63.8,15
D64,221
D64.0,94
D64.1,17
D64.2,17
D64.3,45
D64.4,37
D64.8,21
D64.9,34
D65,44
D66,51
D67,58
D68,742
D68.0,44
D68.1,43
D68.2,245
D68.3,17
D68.4,59
D68.8,124
D68.9,52
D69,833
D69.0,72
D69.1,216
D69.2,29
D69.3,79
D69.4,171
D69.5,33
D69.6,16
D69.8,233
D69.9,15
D70,119
D71,44
D72,213
D72.0,40
D72.1,10
D72.8,143
D72.9,19
D73,109
D73.0,7
D73.1,17
D73.2,22
D73.3,8
D73.5,15
D73.8,21
D73.9,18
D74,53
D74.0,30
D74.8,17
D74.9,6
D75,294
D75.0,21
D75.1,160
D75.8,57
D75.9,52
D76,118
D76.0,14
D76.1,13
D76.3,88
D77,1
D80,264
D80.0,75
D80.1,27
D80.2,6
D80.3,27
D80.4,14
D80.5,96
D80.6,11
D80.7,11
D80.8,15
D80.9,8
D81,727
D81.0,57
D81.1,163
D81.2,224
D81.3,25
D81.4,42
D81.5,34
D81.6,37
D81.7,22
D81.8,280
D81.9,27
D82,253
D82.0,29
D82.1,26
D82.2,32
D82.3,17
D82.4,40
D82.8,106
D83,27
D83.9,18
D84,815
D84.1,243
D84.8,507
D84.9,63
D86,100
D86.0,10
D86.3,23
D86.8,41
D86.9,20
D89,159
D89.0,17
D89.1,54
D89.8,67
D89.9,6
E00,64
E00.1,11
E00.9,20
E01,378
E01.0,80
E01.1,290
E01.2,37
E02,9
E03,463
E03.0,46
E03.1,324
E03.2,13
E03.4,24
E03.9,79
E04,95
E04.0,29
E04.1,7
E04.2,35
E04.9,46
E05,414
E05.0,275
E05.1,7
E05.2,39
E05.5,19
E05.8,24
E05.9,42
E06,414
E06.0,33
E06.1,38
E06.3,299
E06.5,24
E06.9,11
E07,120
E07.1,39
E07.8,49
E07.9,26
E10,408
E11,221
E12,27
E13,222
E14,76
E15,24
E16,370
E16.1,225
E16.2,10
E16.3,11
E16.4,6
E16.8,82
E16.9,18
E20,151
E20.1,79
E20.8,50
E20.9,17
E21,117
E21.0,61
E21.1,11
E21.2,7
E21.3,8
E21.5,25
E22,437
E22.0,189
E22.1,116
E22.2,67
E22.8,60
E23,835
E23.0,558
E23.1,6
E23.2,42
E23.3,47
E23.6,178
E24,217
E24.0,41
E24.1,17
E24.2,6
E24.3,35
E24.8,63
E24.9,50
E25,128
E25.0,51
E25.8,38
E25.9,34
E26,278
E26.0,120
E26.8,145
E26.9,10
E27,271
E27.0,7
E27.1,83
E27.2,25
E27.3,8
E27.4,76
E27.5,21
E27.8,31
E27.9,23
E28,156
E28.0,16
E28.2,51
E28.3,50
E28.8,10
E28.9,15
E29,96
E29.1,75
E30,118
E30.0,11
E30.1,99
E31,333
E31.0,130
E31.1,7
E31.8,30
E31.9,10
E32,38
E32.0,6
E32.8,13
E32.9,16
E34,429
E34.0,21
E34.3,164
E34.5,37
E34.8,155
E34.9,44
E35,47
E35.0,8
E35.1,30
E35.8,9
E40,25
E41,26
E42,10
E43,18
E44,11
E45,9
E46,17
E50,66
E50.1,6
E50.5,6
E50.7,11
E50.8,23
E51,59
E51.1,34
E51.2,17
E52,26
E53,146
E53.0,16
E53.1,17
E53.8,102
E53.9,10
E54,45
E55,37
E55.0,26
E55.9,10
E56,37
E56.1,19
E56.9,11
E58,4
E59,5
E60,3
E61,35
E61.2,11
E63,23
E63.9,15
E64,56
E64.3,40
E64.8,8
E65,10
E66,235
E66.0,6
E66.2,8
E66.8,198
E66.9,23
E67,45
E67.0,11
E67.1,14
E67.3,10
E67.8,6
E68,1
E70,544
E70.0,12
E70.1,113
E70.2,63
E70.3,216
E70.8,117
E71,1454
E71.0,85
E71.1,761
E71.2,15
E71.3,592
E72,1432
E72.0,267
E72.1,308
E72.2,193
E72.3,97
E72.4,57
E72.5,95
E72.8,401
E72.9,13
E73,50
E73.0,20
E73.9,26
E74,1971
E74.0,1371
E74.1,73
E74.2,61
E74.3,163
E74.4,139
E74.8,151
E74.9,12
E75,1925
E75.0,202
E75.1,146
E75.2,928
E75.3,14
E75.4,541
E75.5,124
E75.6,29
E76,412
E76.0,54
E76.1,91
E76.2,268
E76.3,10
E77,622
E77.0,110
E77.1,192
E77.8,331
E77.9,10
E78,839
E78.0,122
E78.1,59
E78.2,74
E78.3,212
E78.4,116
E78.5,60
E78.6,185
E78.8,62
E78.9,15
E79,323
E79.0,23
E79.1,59
E79.8,268
E79.9,20
E80,309
E80.0,95
E80.1,37
E80.2,90
E80.3,30
E80.4,50
E80.5,56
E80.6,59
E80.7,15
E83,933
E83.0,147
E83.1,204
E83.2,43
E83.3,231
E83.4,230
E83.5,108
E83.8,16
E83.9,10
E84,34
E84.0,12
E84.1,20
E84.8,13
E84.9,15
E85,821
E85.0,360
E85.1,98
E85.2,27
E85.3,65
E85.4,299
E85.8,47
E85.9,32
E86,10
E87,71
E87.0,6
E87.1,12
E87.2,9
E87.6,13
E87.8,12
E88,932
E88.0,64
E88.1,318
E88.2,63
E88.8,381
E88.9,33
E89,256
E89.0,23
E89.1,15
E89.2,65
E89.3,9
E89.8,122
E89.9,10
E90,1
F00,46
F00.0,6
F01,93
F01.1,61
F01.8,14
F01.9,7
F02,57
F02.0,9
F02.1,7
F02.3,21
F02.8,12
F03,33
F04,18
F05,35
F05.8,15
F05.9,11
F06,73
F06.2,8
F06.3,8
F06.7,7
F06.8,23
F06.9,8
F07,49
F07.0,20
F07.2,15
F07.9,6
F09,26
F10,115
F11,50
F12,38
F13,64
F14,26
F15,35
F16,32
F17,22
F18,26
F19,50
F20,131
F20.0,31
F20.2,8
F20.5,9
F20.8,48
F20.9,23
F21,46
F22,44
F22.0,22
F22.8,20
F23,47
F23.0,6
F23.2,15
F23.3,7
F23.9,11
F24,5
F25,26
F25.2,6
F25.9,11
F28,9
F29,14
F30,27
F30.0,7
F30.8,7
F30.9,6
F31,94
F31.8,15
F31.9,57
F32,107
F32.1,8
F32.2,8
F32.3,11
F32.8,23
F32.9,57
F33,73
F33.3,9
F33.9,50
F34,80
F34.0,24
F34.1,50
F38,11
F39,22
F40,68
F40.0,11
F40.1,13
F40.2,26
F40.9,16
F41,63
F41.0,14
F41.1,14
F41.2,8
F41.9,19
F42,70
F42.0,16
F42.1,10
F42.2,6
F42.8,9
F42.9,12
F43,99
F43.0,38
F43.1,32
F43.2,23
F44,232
F44.0,9
F44.4,77
F44.5,16
F44.6,24
F44.8,50
F44.9,30
F45,413
F45.0,31
F45.2,54
F45.3,201
F45.4,34
F45.8,81
F45.9,25
F48,126
F48.0,27
F48.1,6
F48.8,38
F48.9,55
F50,78
F50.0,12
F50.2,7
F50.5,9
F50.8,30
F50.9,11
F51,53
F51.0,6
F51.1,18
F51.2,7
F51.9,7
F52,143
F52.0,23
F52.1,8
F52.2,9
F52.3,33
F52.5,16
F52.6,18
F52.7,10
F52.9,19
F53,54
F53.1,12
F54,13
F55,20
F59,4
F60,284
F60.0,38
F60.1,12
F60.2,61
F60.3,33
F60.4,21
F60.5,32
F60.6,13
F60.7,37
F60.8,27
F60.9,9
F61,16
F62,16
F62.0,6
F63,77
F63.0,16
F63.1,15
F63.2,9
F63.3,10
F63.8,12
F63.9,16
F64,43
F64.1,22
F64.2,16
F65,90
F65.0,16
F65.1,23
F65.4,8
F65.5,14
F65.8,9
F65.9,10
F66,21
F66.2,6
F68,23
F68.1,14
F69,3
F70,39
F71,31
F72,46
F73,5
F78,3
F79,9
F80,123
F80.0,8
F80.1,35
F80.2,20
F80.3,18
F80.8,19
F80.9,22
F81,91
F81.0,21
F81.1,9
F81.2,27
F81.8,6
F81.9,24
F82,35
F83,3
F84,180
F84.0,34
F84.1,35
F84.2,22
F84.3,24
F84.5,50
F88,3
F89,3
F90,20
F90.0,7
F90.9,6
F91,36
F91.1,7
F91.2,8
F91.8,10
F91.9,7
F92,9
F93,44
F93.2,15
F93.8,12
F94,16
F95,72
F95.0,11
F95.1,15
F95.2,34
F95.8,11
F95.9,14
F98,69
F98.0,7
F98.1,6
F98.2,6
F98.4,25
F98.8,11
F99,38
G00,90
G00.0,6
G00.1,8
G00.2,19
G00.8,11
G00.9,18
G01,2
G02,43
G02.0,29
G02.1,11
G03,80
G03.0,16
G03.1,10
G03.9,45
G04,170
G04.0,28
G04.1,39
G04.2,7
G04.8,66
G04.9,24
G05,124
G05.0,24
G05.1,72
G05.2,24
G06,42
G06.0,21
G06.1,10
G06.2,9
G07,2
G08,19
G09,8
G10,122
G11,3798
G11.0,128
G11.1,773
G11.2,304
G11.3,111
G11.4,1844
G11.8,624
G11.9,10
G12,1106
G12.0,44
G12.1,338
G12.2,697
G12.8,33
G12.9,16
G13,53
G13.1,46
G20,127
G21,63
G21.0,7
G21.2,11
G21.3,11
G21.8,7
G21.9,24
G22,2
G23,476
G23.0,284
G23.1,93
G23.2,75
G23.8,21
G24,609
G24.1,380
G24.2,64
G24.3,11
G24.4,16
G24.5,12
G24.8,191
G24.9,24
G25,320
G25.0,21
G25.2,12
G25.3,97
G25.5,47
G25.6,6
G25.8,108
G25.9,18
G26,1
G30,229
G30.0,20
G30.8,6
G30.9,30
G31,744
G31.0,181
G31.1,16
G31.2,9
G31.8,509
G31.9,28
G32,36
G32.0,11
G32.8,24
G35,45
G36,37
G36.0,28
G37,187
G37.0,76
G37.1,15
G37.2,14
G37.3,18
G37.4,20
G37.5,35
G37.8,32
G37.9,6
G40,974
G40.0,30
G40.1,41
G40.2,32
G40.3,368
G40.4,200
G40.5,51
G40.6,9
G40.7,6
G40.8,223
G40.9,43
G41,42
G41.0,8
G41.1,8
G41.2,10
G41.8,12
G43,74
G43.0,20
G43.1,14
G43.8,16
G43.9,23
G44,74
G44.0,14
G44.8,50
G45,82
G45.0,20
G45.9,43
G46,47
G46.3,27
G47,313
G47.0,18
G47.1,28
G47.2,125
G47.3,57
G47.4,30
G47.8,20
G47.9,6
G50,64
G50.0,36
G50.1,11
G50.8,14
G51,166
G51.0,44
G51.1,16
G51.2,25
G51.3,17
G51.4,19
G51.8,37
G51.9,8
G52,162
G52.0,26
G52.1,18
G52.2,27
G52.3,33
G52.7,26
G52.8,6
G52.9,14
G53,32
G53.0,20
G54,223
G54.0,130
G54.1,9
G54.5,56
G54.8,9
G55,37
G55.1,31
G56,142
G56.0,23
G56.1,19
G56.2,30
G56.3,26
G56.4,37
G57,134
G57.0,22
G57.1,8
G57.2,18
G57.3,32
G57.5,14
G57.6,25
G57.8,6
G58,51
G58.0,15
G58.7,9
G58.8,8
G58.9,18
G59,16
G59.0,9
G59.8,6
G60,2296
G60.0,1954
G60.1,72
G60.2,59
G60.8,201
G61,357
G61.0,266
G61.8,84
G62,85
G62.0,6
G62.1,11
G62.2,11
G62.8,15
G62.9,42
G63,197
G63.0,14
G63.2,42
G63.3,70
G63.4,54
G63.8,7
G64,14
G70,134
G70.0,42
G70.2,43
G70.8,34
G70.9,11
G71,2569
G71.0,978
G71.1,229
G71.2,588
G71.3,553
G71.8,285
G71.9,15
G72,245
G72.3,142
G72.4,68
G72.8,13
G72.9,12
G73,84
G73.0,6
